Temperature (K),B2V Hard Sphere,B2V Lennard-Jones,B2V Square Well
660.0700087510938,4.9383598972523185e+25,1.5230186813478486e+25,2.676828630741642e+25
660.1575196899612,4.9383598972523185e+25,1.5232866833352973e+25,2.677155542594058e+25
660.2450306288285,4.9383598972523185e+25,1.5235546007137603e+25,2.6774823601707362e+25
660.3325415676959,4.9383598972523185e+25,1.5238224335196568e+25,2.6778090835123544e+25
660.4200525065633,4.9383598972523185e+25,1.5240901817893952e+25,2.6781357126595836e+25
660.5075634454307,4.9383598972523185e+25,1.524357845559343e+25,2.678462247653059e+25
660.5950743842981,4.9383598972523185e+25,1.5246254248658704e+25,2.6787886885333986e+25
660.6825853231654,4.9383598972523185e+25,1.5248929197453133e+25,2.6791150353411962e+25
660.7700962620328,4.9383598972523185e+25,1.5251603302339891e+25,2.6794412881170217e+25
660.8576072009001,4.9383598972523185e+25,1.5254276563682064e+25,2.6797674469014216e+25
660.9451181397675,4.9383598972523185e+25,1.5256948981842383e+25,2.680093511734919e+25
661.0326290786348,4.9383598972523185e+25,1.525962055718337e+25,2.680419482658017e+25
661.1201400175022,4.9383598972523185e+25,1.52622912900675e+25,2.6807453597111877e+25
661.2076509563695,4.9383598972523185e+25,1.5264961180856935e+25,2.6810711429348877e+25
661.2951618952369,4.9383598972523185e+25,1.5267630229913626e+25,2.6813968323695487e+25
661.3826728341043,4.9383598972523185e+25,1.527029843759933e+25,2.681722428055577e+25
661.4701837729716,4.9383598972523185e+25,1.5272965804275632e+25,2.6820479300333557e+25
661.557694711839,4.9383598972523185e+25,1.5275632330303958e+25,2.6823733383432495e+25
661.6452056507063,4.9383598972523185e+25,1.5278298016045388e+25,2.682698653025593e+25
661.7327165895737,4.9383598972523185e+25,1.5280962861860853e+25,2.683023874120704e+25
661.820227528441,4.9383598972523185e+25,1.5283626868111267e+25,2.6833490016688687e+25
661.9077384673084,4.9383598972523185e+25,1.5286290035157027e+25,2.6836740357103625e+25
661.9952494061757,4.9383598972523185e+25,1.5288952363358623e+25,2.6839989762854273e+25
662.0827603450431,4.9383598972523185e+25,1.5291613853076073e+25,2.684323823434287e+25
662.1702712839104,4.9383598972523185e+25,1.5294274504669462e+25,2.6846485771971387e+25
662.2577822227778,4.9383598972523185e+25,1.5296934318498408e+25,2.6849732376141625e+25
662.3452931616451,4.9383598972523185e+25,1.5299593294922544e+25,2.6852978047255112e+25
662.4328041005125,4.9383598972523185e+25,1.5302251434301184e+25,2.6856222785713136e+25
662.5203150393799,4.9383598972523185e+25,1.5304908736993526e+25,2.685946659191679e+25
662.6078259782473,4.9383598972523185e+25,1.5307565203358475e+25,2.6862709466266926e+25
662.6953369171147,4.9383598972523185e+25,1.5310220833754752e+25,2.686595140916415e+25
662.782847855982,4.9383598972523185e+25,1.5312875628540912e+25,2.6869192421008837e+25
662.8703587948494,4.9383598972523185e+25,1.5315529588075313e+25,2.687243250220118e+25
662.9578697337167,4.9383598972523185e+25,1.5318182712716105e+25,2.6875671653141084e+25
663.0453806725841,4.9383598972523185e+25,1.532083500282122e+25,2.6878909874228235e+25
663.1328916114514,4.9383598972523185e+25,1.532348645874837e+25,2.688214716586214e+25
663.2204025503188,4.9383598972523185e+25,1.532613708085518e+25,2.6885383528442054e+25
663.3079134891861,4.9383598972523185e+25,1.5328786869498906e+25,2.688861896236696e+25
663.3954244280535,4.9383598972523185e+25,1.5331435825036697e+25,2.6891853468035656e+25
663.4829353669209,4.9383598972523185e+25,1.5334083947825541e+25,2.689508704584671e+25
663.5704463057882,4.9383598972523185e+25,1.5336731238222177e+25,2.6898319696198467e+25
663.6579572446556,4.9383598972523185e+25,1.533937769658306e+25,2.6901551419489004e+25
663.7454681835229,4.9383598972523185e+25,1.5342023323264685e+25,2.690478221611623e+25
663.8329791223903,4.9383598972523185e+25,1.5344668118623065e+25,2.690801208647776e+25
663.9204900612576,4.9383598972523185e+25,1.53473120830142e+25,2.6911241030971043e+25
664.008001000125,4.9383598972523185e+25,1.5349955216793792e+25,2.69144690499933e+25
664.0955119389923,4.9383598972523185e+25,1.535259752031751e+25,2.6917696143941427e+25
664.1830228778597,4.9383598972523185e+25,1.535523899394058e+25,2.692092231321225e+25
664.270533816727,4.9383598972523185e+25,1.5357879638018252e+25,2.692414755820224e+25
664.3580447555944,4.9383598972523185e+25,1.5360519452905417e+25,2.6927371879307705e+25
664.4455556944617,4.9383598972523185e+25,1.5363158438956778e+25,2.693059527692469e+25
664.5330666333291,4.9383598972523185e+25,1.5365796596527014e+25,2.6933817751449076e+25
664.6205775721966,4.9383598972523185e+25,1.5368433925970375e+25,2.6937039303276455e+25
664.7080885110639,4.9383598972523185e+25,1.5371070427641094e+25,2.6940259932802184e+25
664.7955994499313,4.9383598972523185e+25,1.5373706101893124e+25,2.694347964042147e+25
664.8831103887986,4.9383598972523185e+25,1.5376340949080213e+25,2.6946698426529236e+25
664.970621327666,4.9383598972523185e+25,1.5378974969555916e+25,2.694991629152019e+25
665.0581322665333,4.9383598972523185e+25,1.5381608163673654e+25,2.6953133235788825e+25
665.1456432054007,4.9383598972523185e+25,1.5384240531786595e+25,2.69563492597294e+25
665.233154144268,4.9383598972523185e+25,1.5386872074247663e+25,2.695956436373595e+25
665.3206650831354,4.9383598972523185e+25,1.5389502791409666e+25,2.696277854820229e+25
665.4081760220027,4.9383598972523185e+25,1.5392132683625254e+25,2.6965991813522003e+25
665.4956869608701,4.9383598972523185e+25,1.539476175124669e+25,2.696920416008849e+25
665.5831978997375,4.9383598972523185e+25,1.5397389994626252e+25,2.6972415588294843e+25
665.6707088386048,4.9383598972523185e+25,1.5400017414116e+25,2.6975626098534008e+25
665.7582197774722,4.9383598972523185e+25,1.5402644010067583e+25,2.6978835691198683e+25
665.8457307163395,4.9383598972523185e+25,1.5405269782832649e+25,2.698204436668132e+25
665.9332416552069,4.9383598972523185e+25,1.5407894732762663e+25,2.6985252125374155e+25
666.0207525940742,4.9383598972523185e+25,1.5410518860208803e+25,2.698845896766928e+25
666.1082635329416,4.9383598972523185e+25,1.5413142165522124e+25,2.699166489395838e+25
666.1957744718089,4.9383598972523185e+25,1.541576464905336e+25,2.699486990463315e+25
666.2832854106763,4.9383598972523185e+25,1.5418386311153219e+25,2.699807400008486e+25
666.3707963495436,4.9383598972523185e+25,1.54210071521721e+25,2.70012771807047e+25
666.458307288411,4.9383598972523185e+25,1.5423627172460234e+25,2.7004479446883558e+25
666.5458182272783,4.9383598972523185e+25,1.5426246372367687e+25,2.7007680799012108e+25
666.6333291661457,4.9383598972523185e+25,1.5428864752244233e+25,2.701088123748084e+25
666.7208401050132,4.9383598972523185e+25,1.543148231243966e+25,2.7014080762679984e+25
666.8083510438805,4.9383598972523185e+25,1.5434099053303327e+25,2.7017279374999564e+25
666.8958619827479,4.9383598972523185e+25,1.543671497518447e+25,2.7020477074829376e+25
666.9833729216152,4.9383598972523185e+25,1.5439330078432221e+25,2.7023673862558986e+25
667.0708838604826,4.9383598972523185e+25,1.5441944363395436e+25,2.702686973857779e+25
667.1583947993499,4.9383598972523185e+25,1.5444557830422835e+25,2.7030064703274906e+25
667.2459057382173,4.9383598972523185e+25,1.5447170479862811e+25,2.703325875703921e+25
667.3334166770846,4.9383598972523185e+25,1.5449782312063763e+25,2.703645190025946e+25
667.420927615952,4.9383598972523185e+25,1.5452393327373697e+25,2.7039644133324117e+25
667.5084385548193,4.9383598972523185e+25,1.5455003526140604e+25,2.704283545662142e+25
667.5959494936867,4.9383598972523185e+25,1.5457612908712164e+25,2.7046025870539374e+25
667.683460432554,4.9383598972523185e+25,1.546022147543585e+25,2.704921537546584e+25
667.7709713714214,4.9383598972523185e+25,1.5462829226659042e+25,2.705240397178841e+25
667.8584823102888,4.9383598972523185e+25,1.5465436162728842e+25,2.705559165989441e+25
667.9459932491561,4.9383598972523185e+25,1.5468042283992266e+25,2.7058778440171054e+25
668.0335041880235,4.9383598972523185e+25,1.5470647590795959e+25,2.70619643130052e+25
668.1210151268908,4.9383598972523185e+25,1.5473252083486577e+25,2.7065149278783635e+25
668.2085260657582,4.9383598972523185e+25,1.5475855762410395e+25,2.7068333337892835e+25
668.2960370046255,4.9383598972523185e+25,1.5478458627913627e+25,2.7071516490719057e+25
668.3835479434929,4.9383598972523185e+25,1.5481060680342295e+25,2.7074698737648355e+25
668.4710588823602,4.9383598972523185e+25,1.5483661920042079e+25,2.707788007906659e+25
668.5585698212276,4.9383598972523185e+25,1.5486262347358695e+25,2.708106051535938e+25
668.646080760095,4.9383598972523185e+25,1.5488861962637442e+25,2.7084240046912094e+25
668.7335916989623,4.9383598972523185e+25,1.5491460766223593e+25,2.7087418674109944e+25
668.8211026378298,4.9383598972523185e+25,1.5494058758462174e+25,2.709059639733791e+25
668.9086135766971,4.9383598972523185e+25,1.5496655939698001e+25,2.709377321698069e+25
668.9961245155645,4.9383598972523185e+25,1.54992523102757e+25,2.7096949133422854e+25
669.0836354544318,4.9383598972523185e+25,1.5501847870539736e+25,2.71001241470487e+25
669.1711463932992,4.9383598972523185e+25,1.5504442620834371e+25,2.7103298258242324e+25
669.2586573321665,4.9383598972523185e+25,1.550703656150368e+25,2.710647146738756e+25
669.3461682710339,4.9383598972523185e+25,1.5509629692891454e+25,2.7109643774868157e+25
669.4336792099012,4.9383598972523185e+25,1.5512222015341497e+25,2.711281518106746e+25
669.5211901487686,4.9383598972523185e+25,1.5514813529197276e+25,2.711598568636876e+25
669.608701087636,4.9383598972523185e+25,1.5517404234802015e+25,2.711915529115501e+25
669.6962120265033,4.9383598972523185e+25,1.5519994132498946e+25,2.7122323995809074e+25
669.7837229653707,4.9383598972523185e+25,1.5522583222630922e+25,2.712549180071347e+25
669.871233904238,4.9383598972523185e+25,1.5525171505540668e+25,2.7128658706250543e+25
669.9587448431054,4.9383598972523185e+25,1.5527758981570744e+25,2.7131824712802493e+25
670.0462557819727,4.9383598972523185e+25,1.553034565106356e+25,2.7134989820751194e+25
670.1337667208401,4.9383598972523185e+25,1.5532931514361234e+25,2.7138154030478404e+25
670.2212776597074,4.9383598972523185e+25,1.5535516571805695e+25,2.714131734236558e+25
670.3087885985748,4.9383598972523185e+25,1.5538100823738812e+25,2.7144479756794015e+25
670.3962995374421,4.9383598972523185e+25,1.5540684270502157e+25,2.714764127414476e+25
670.4838104763095,4.9383598972523185e+25,1.5543266912437133e+25,2.7150801894798672e+25
670.5713214151768,4.9383598972523185e+25,1.5545848749884967e+25,2.7153961619136387e+25
670.6588323540442,4.9383598972523185e+25,1.5548429783186642e+25,2.715712044753833e+25
670.7463432929115,4.9383598972523185e+25,1.5551010012683117e+25,2.7160278380384685e+25
670.833854231779,4.9383598972523185e+25,1.5553589438714973e+25,2.7163435418055434e+25
670.9213651706464,4.9383598972523185e+25,1.555616806162262e+25,2.7166591560930383e+25
671.0088761095137,4.9383598972523185e+25,1.5558745881746449e+25,2.716974680938909e+25
671.0963870483811,4.9383598972523185e+25,1.556132289942648e+25,2.717290116381086e+25
671.1838979872484,4.9383598972523185e+25,1.556389911500268e+25,2.717605462457485e+25
671.2714089261158,4.9383598972523185e+25,1.5566474528814698e+25,2.717920719206e+25
671.3589198649831,4.9383598972523185e+25,1.556904914120209e+25,2.718235886664497e+25
671.4464308038505,4.9383598972523185e+25,1.557162295250421e+25,2.7185509648708254e+25
